City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
105,west island,-12.1568,96.8225,29.99,70,40,5.14,CC,2024-01-01
106,petropavlovsk-kamchatsky,53.0452,158.6483,-10.67,70,0,5.36,RU,2024-01-01
107,wakkanai,45.4094,141.6739,-5.01,70,75,5.66,JP,2024-01-01
108,sao tome,0.3365,6.7273,27.06,79,99,2.47,ST,2024-01-01
109,tamanrasset,22.785,5.5228,5.95,31,0,0.0,DZ,2024-01-01
110,thompson,55.7435,-97.8558,-0.91,64,75,5.14,CA,2024-01-01
111,kharp,66.8014,65.8081,-27.27,96,71,2.32,RU,2024-01-01
112,yelizovo,53.1873,158.3805,-9.92,37,0,5.0,RU,2024-01-01
113,riyadh,24.6877,46.7219,15.08,62,35,4.27,SA,2024-01-01
114,atasu,48.6814,71.6433,-1.45,84,100,6.44,KZ,2024-01-01
115,revda,56.801,59.9303,-8.38,96,100,2.43,RU,2024-01-01
116,aras-asan,8.8908,126.3033,28.06,79,98,3.42,PH,2024-01-01
117,cabo san lucas,22.8909,-109.9124,21.53,73,100,1.77,MX,2024-01-01
118,marsa alam,25.0757,34.8918,19.39,67,0,4.52,EG,2024-01-01
119,lukoyanov,55.0277,44.4786,-15.23,93,100,6.04,RU,2024-01-01
120,broome,42.2506,-75.833,0.9,94,100,0.0,US,2024-01-01
121,hawaiian paradise park,19.5933,-154.9731,22.73,89,100,2.06,US,2024-01-01
122,dungannon,54.5034,-6.7672,4.73,89,16,4.73,GB,2024-01-01
123,huillapima,-28.7253,-65.9787,26.03,57,3,2.53,AR,2024-01-01
124,maua,-23.6678,-46.4614,20.76,78,94,3.73,BR,2024-01-01
125,yigo village,13.5361,144.8886,29.62,79,100,6.04,GU,2024-01-01
126,selfoss,63.9331,-20.9971,-3.32,83,97,5.99,IS,2024-01-01
127,kyzyl-suu,42.3414,78.0056,-1.81,66,73,0.29,KG,2024-01-01
128,binzhou,37.3667,118.0167,2.25,55,49,2.28,CN,2024-01-01
129,santa marta,11.2408,-74.199,29.03,75,19,8.94,CO,2024-01-01
130,rupert,42.6191,-113.6772,-3.23,93,0,0.0,US,2024-01-01
131,new norfolk,-42.7826,147.0587,18.73,50,99,3.15,AU,2024-01-01
132,san luis de la loma,17.2706,-100.8939,23.07,76,0,2.43,MX,2024-01-01
133,cockburn town,21.4612,-71.1419,25.1,70,5,8.51,TC,2024-01-01
134,labrador city,52.9463,-66.9114,-13.05,72,100,5.66,CA,2024-01-01
135,lianhe,47.1333,129.2667,-8.37,62,100,0.93,CN,2024-01-01
136,ilulissat,69.2167,-51.1,-11.99,44,19,10.8,GL,2024-01-01
